WORD;HYPERONYM;TEXT;REFERENCE
ОСОТ;Сорная трава;ОСОТ - Род крупной сорной травы из семейства сложноцветных.;https://kartaslov.ru/значение-слова/осот
ОСОТ;Растение;СОТ растение из рода травянистых растений семейства Астровые или Сложноцветные;https://dic.academic.ru/dic.nsf/enc2p/292478
ОСОТ;Сорняк;Сорняк, годный на корм;https://поискслов.рф/wd/осот
ОСОТ;Сорное растение;ОСО́Т, -а, м. Название нескольких видов сорных травянистых растений сем. сложноцветных.;https://поискслов.рф/wd/осот
ОСОТ;Трава;СОТ растение из рода травянистых растений семейства Астровые или Сложноцветные;https://поискслов.рф/wd/осот
ОСТЕОМИЕЛИТ;Гнойно-некротический процесс;"Остеомиелит (от греческих слов: osteo от osteon — «кость»; myelo — «мозг»; -itis — «воспаление») — гнойно-некротический процесс, развивающийся в кости и костном мозге, а также в окружающих их мягких тканях, вызываемый пиогенными (производящими гной ) бактериями или микобактериями .";https://ru.wikipedia.org/wiki/Остеомиелит
ОСТЕОМИЕЛИТ;Гнойное воспаление;;https://www.medkompas.ru/about-health/diseases/osteomielit/
ОСТЕОМИЕЛИТ;Инфекционно-воспалительный процесс;Остеомиелит(от остео... и греч. myelós ≈ мозг) инфекционно-воспалительный процесс поражающий участок костного мозга, а затем элементы костной ткани одной или нескольких костей. ;https://www.obozrevatel.com/health/bolezni/osteomielit.htm
ОСТЕОМИЕЛИТ;Воспаление костного мозга;ОСТЕОМИЕЛИТ (от остео... и греч. myelos - мозг) воспаление костного мозга, обычно с распространением на все слои кости;https://www.mikrokirurgija.lv/operacii/rekonstruktivnaja-hirurgija/lechenie-osteomielita/ru/
ОСТЕОМИЕЛИТ;Инфекционное  поражени;;https://поискслов.рф/wd/остеомиелит
ОСТРАСТКА;Строгое предупреждение;острастка -и, ж. (разг.). Строгое предупреждение или наказание как урок на будущее.;https://поискслов.рф/wd/острастка
ОСТРАСТКА;Запугивающее наказание;острастки, ж. (разг.). Угроза, суровое предостережение запугивающее наказание.;https://поискслов.рф/wd/острастка
ОСТРАСТКА;Угроза;острастки, ж. (разг.). Угроза, суровое предостережение запугивающее наказание.;https://поискслов.рф/wd/острастка
ОСТРАСТКА;Предостережение;;https://ru.wiktionary.org/wiki/острастка
ОСТРАСТКА;Урок;острастка -и, ж. (разг.). Строгое предупреждение или наказание как урок на будущее.;https://dic.academic.ru/dic.nsf/ogegova/142454
ОСТРИЦА;Глист;острицы, ж. (зоол.). Мелкий глист, червяк-паразит развивающийся в прямой кишке и вызывающий сильный зуд.;http://www.04.rospotrebnadzor.ru/index.php/epid-otdel/org/10791-2019-05-22-10-39-57.html
ОСТРИЦА;Гельминт;острицы, ж. (зоол.). Мелкий глист, червяк-паразит развивающийся в прямой кишке и вызывающий сильный зуд.;http://www.04.rospotrebnadzor.ru/index.php/epid-otdel/org/10791-2019-05-22-10-39-57.html
ОСТРИЦА;Сорное растение;Остри́ца, или Асперуга  — монотипный род семейства Бурачниковые. Как сорное растение вид распространён почти повсеместно.;https://поискслов.рф/wd/острица
ОСТРИЦА;Паразитирующий червь;Острица (Enterobius vermicularis), круглый червь подотряда Oxyurata, паразитирует у человека.;http://cgon.rospotrebnadzor.ru/content/63/3121/
ОСТРИЦА;Населенный пункт;Острица — населённый пункт в Болгарии;https://поискслов.рф/wd/острица
ОТВЯЗКА;Расслабление;;https://kartaslov.ru/значение-слова/отвязка
ОТВЯЗКА;Развлечение;;https://поискслов.рф/wd/отвязка
ОТВЯЗКА;Открепление;;https://поискслов.рф/wd/отвязка
ОТВЯЗКА;Освобождение от привязи;;https://dic.academic.ru/dic.nsf/efremova/205104/Отвязка
ОТВЯЗКА;Отвязывание;;https://поискслов.рф/wd/отвязка
ОТКАЗОУСТОЙЧИВОСТЬ;Сохранение работоспособности;Отказоустойчивость — это способность системы продолжать полноценно работать при выходе из строя отдельных компонентов;https://web-creator.ru/articles/about_failover
ОТКАЗОУСТОЙЧИВОСТЬ;Свойство технической системы;Отказоустойчивость (англ. Fault tolerance) — свойство технической системы сохранять свою работоспособность после отказа одного или нескольких составных компонентов.;https://ru.wikipedia.org/wiki/Отказоустойчивость
ОТКАЗОУСТОЙЧИВОСТЬ;Способность;Отказоустойчивость — это способность системы продолжать полноценно работать при выходе из строя отдельных компонентов;https://web-creator.ru/articles/about_failover
ОТКАЗОУСТОЙЧИВОСТЬ;Показатель;;
