WORD;HYPORONIMS;TEXT;REFERENCE
ОСОТ;Сорная трава;Осот — это род крупной сорной травы из семейства сложноцветных.;https://kartaslov.ru/значение-слова/осот
ОСОТ;Растение;Осот — это растение из рода травянистых растений семейства Астровые или Сложноцветные;https://dic.academic.ru/dic.nsf/enc2p/292478
ОСОТ;Сорняк;Осот — это сорняк, годный на корм.;https://поискслов.рф/wd/осот
ОСОТ;Сорное растение;Осот — это название нескольких видов сорных травянистых растений сем. сложноцветных.;https://поискслов.рф/wd/осот
ОСОТ;Трава;Осот — это трава, проявляющая свои лечебные свойства благодаря наличию витаминов, алкалоидов, холина и др. полезных веществ.;https://agronomu.com/bok/2210-chem-polezen-osot-himicheskiy-sostav-i-primenenie-rasteniya.html
ОСТЕОМИЕЛИТ;Гнойно-некротический процесс;Остеомиелит  — это гнойно—некротический процесс, развивающийся в кости и костном мозге, а также в окружающих их мягких тканях, вызываемый пиогенными (производящими гной) бактериями или микобактериями.;https://ru.wikipedia.org/wiki/Остеомиелит
ОСТЕОМИЕЛИТ;Гнойное воспаление;Остеомиелит  —  это гнойное воспаление, поражающее кость со всеми ее элементами: самой костной тканью, надкостницей и костным мозгом.;https://www.medkompas.ru/about-health/diseases/osteomielit/
ОСТЕОМИЕЛИТ;Инфекционно-воспалительный процесс;Остеомиелит — это инфекционный воспалительный процесс, поражающий все элементы кости – костный мозг, собственно кость и надкостницу, т.е. паностит, однако термин паностит не нашел широкого применения в медицинской литературе.RXVSt;https://www.obozrevatel.com/health/bolezni/osteomielit.htm
ОСТЕОМИЕЛИТ;Воспаление костного мозга;Остеомиелит — это воспаление костного мозга, обычно с распространением на все слои кости.;http://www.grsmu.by/files/file/university/cafedry/obshei-hiryrgii/files/lekcionnu-material/14.pdf
ОСТЕОМИЕЛИТ;Инфекционное  поражение;Остеомиелит —  это инфекционное поражение кости, которое  вызывают бактерии.;https://www.rlsnet.ru/mkb_index_id_5816.htm
ОСТРАСТКА;Строгое предупреждение;Острастка — это строгое предупреждение или наказание как урок на будущее.;https://поискслов.рф/wd/острастка
ОСТРАСТКА;Запугивающее наказание;Острастка — это угроза, суровое предостережение,  запугивающее наказание.;https://поискслов.рф/wd/острастка
